"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"PE_18:1;0_20:4;0 --> LPE_20:4;0","PE_18:1;0_20:4;0","LPE_20:4;0",4.23171177707316,3.56092119290331,"Active","yes","18:1;0_20:4;0"
"PE_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> LPC_20:4;0","PE_18:1;0_20:4;0","LPC_20:4;0",2.60038404459223,3.05844990809958,"Active","yes","18:1;0_20:4;0"
"PE_18:1;0_20:4;0 --> PC_18:1;0_20:4;0","PE_18:1;0_20:4;0","PC_18:1;0_20:4;0",3.1109571030576,3.01426664372066,"Active","yes","18:1;0_20:4;0"
"PE_16:0;0_20:4;0 --> LPE_20:4;0","PE_16:0;0_20:4;0","LPE_20:4;0",2.88580578587445,2.90444779161483,"Active","yes","16:0;0_20:4;0"
"PE_18:0;0_20:4;0 --> LPE_20:4;0","PE_18:0;0_20:4;0","LPE_20:4;0",2.68215785418027,2.80511733966731,"Active","yes","18:0;0_20:4;0"
"PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> LPC_20:4;0","PE_18:0;0_20:4;0","LPC_20:4;0",1.67184693470982,2.60743302813501,"Active","yes","18:0;0_20:4;0"
"PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0","PE_18:0;0_20:4;0","PC_18:0;0_20:4;0",1.97373603983235,2.45958051833424,"Active","yes","18:0;0_20:4;0"
"PC_17:0;0_20:4;0 --> LPC_20:4;0","PC_17:0;0_20:4;0","LPC_20:4;0",1.85263007528448,2.40051038640604,"Active","yes","17:0;0_20:4;0"
"PE_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> LPC_18:1;0","PE_18:1;0_20:4;0","LPC_18:1;0",0.808155857199264,2.18791371018188,"Active","yes","18:1;0_20:4;0"
"PC_18:0;0_20:4;0 --> LPC_20:4;0","PC_18:0;0_20:4;0","LPC_20:4;0",1.37712636980187,2.16858071456809,"Active","yes","18:0;0_20:4;0"
"PE_16:0;0_20:4;0 --> PC_16:0;0_20:4;0 --> LPC_20:4;0","PE_16:0;0_20:4;0","LPC_20:4;0",0.423198583266626,2.00092901483594,"Active","yes","16:0;0_20:4;0"
"PC_18:1;0_20:4;0 --> LPC_20:4;0","PC_18:1;0_20:4;0","LPC_20:4;0",0.964793510134224,1.96746298671851,"Active","yes","18:1;0_20:4;0"
"PE_16:0;0_20:4;0 --> PC_16:0;0_20:4;0","PE_16:0;0_20:4;0","PC_16:0;0_20:4;0",0.444460375230734,1.71366750240762,"Active","no","16:0;0_20:4;0"
"PC_17:0;0_20:3;0 --> LPC_20:3;0","PC_17:0;0_20:3;0","LPC_20:3;0",0.419752277665013,1.70161598547078,"Active","no","17:0;0_20:3;0"
"PC_18:1;0_20:3;0 --> LPC_20:3;0","PC_18:1;0_20:3;0","LPC_20:3;0",-0.0675839010931389,1.46391495662302,"Suppressed","no","18:1;0_20:3;0"
"PC_16:1;0_20:4;0 --> LPC_20:4;0","PC_16:1;0_20:4;0","LPC_20:4;0",-0.150399985425454,1.42352093436697,"Suppressed","no","16:1;0_20:4;0"
"PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> LPC_18:0;0","PE_18:0;0_20:4;0","LPC_18:0;0",-0.792344571428645,1.41050513704136,"Suppressed","no","18:0;0_20:4;0"
"PC_18:0;0_20:3;0 --> LPC_20:3;0","PC_18:0;0_20:3;0","LPC_20:3;0",-0.190715579131909,1.40385677126902,"Suppressed","no","18:0;0_20:3;0"
"PE_16:0;0_18:1;0 --> PC_16:0;0_18:1;0","PE_16:0;0_18:1;0","PC_16:0;0_18:1;0",-0.32028306501011,1.34065948356313,"Suppressed","no","16:0;0_18:1;0"
"PC_16:0;0_20:4;0 --> LPC_20:4;0","PC_16:0;0_20:4;0","LPC_20:4;0",-0.355797226493926,1.32333724669395,"Suppressed","no","16:0;0_20:4;0"
"PC_16:1;0_18:0;0 --> LPC_16:1;0","PC_16:1;0_18:0;0","LPC_16:1;0",-0.503199975553929,1.25144070661799,"Suppressed","no","16:1;0_18:0;0"
"PC_14:0;0_18:1;0 --> LPC_18:1;0","PC_14:0;0_18:1;0","LPC_18:1;0",-0.583220610682338,1.21241018081639,"Suppressed","no","14:0;0_18:1;0"
"PC_16:1;0_17:0;0 --> LPC_16:1;0","PC_16:1;0_17:0;0","LPC_16:1;0",-0.944731423118002,1.03608119930199,"Suppressed","no","16:1;0_17:0;0"
"PC_18:0;0_22:6;0 --> LPC_22:6;0","PC_18:0;0_22:6;0","LPC_22:6;0",-0.956408263212416,1.03038575327291,"Suppressed","no","18:0;0_22:6;0"
"PC_16:1;0_18:0;0 --> LPC_18:0;0","PC_16:1;0_18:0;0","LPC_18:0;0",-1.12669194875525,0.947328904604987,"Suppressed","no","16:1;0_18:0;0"
"PC_16:1;0_20:3;0 --> LPC_20:3;0","PC_16:1;0_20:3;0","LPC_20:3;0",-1.1400747833117,0.940801349948418,"Suppressed","no","16:1;0_20:3;0"
"PC_18:1;0_20:4;0 --> LPC_18:1;0","PC_18:1;0_20:4;0","LPC_18:1;0",-1.23022877073876,0.896828223182522,"Suppressed","no","18:1;0_20:4;0"
"DAG_16:1;0_18:1;0 --> PC_16:1;0_18:1;0","DAG_16:1;0_18:1;0","PC_16:1;0_18:1;0",-1.28348220352679,0.870853554534595,"Suppressed","no","16:1;0_18:1;0"
"PE_16:0;0_18:1;0 --> PC_16:0;0_18:1;0 --> LPC_18:1;0","PE_16:0;0_18:1;0","LPC_18:1;0",-1.9934400083699,0.827098926623426,"Suppressed","no","16:0;0_18:1;0"
"PC_18:1;0_20:3;0 --> LPC_18:1;0","PC_18:1;0_20:3;0","LPC_18:1;0",-1.39427193742165,0.816815223541636,"Suppressed","no","18:1;0_20:3;0"
"PC_20:1;0_20:4;0 --> LPC_20:4;0","PC_20:1;0_20:4;0","LPC_20:4;0",-1.50347804909225,0.763549313412179,"Suppressed","no","20:1;0_20:4;0"
"PC_16:0;0_20:3;0 --> LPC_20:3;0","PC_16:0;0_20:3;0","LPC_20:3;0",-1.50656184041602,0.762045176427562,"Suppressed","no","16:0;0_20:3;0"
"PC_18:2;0_20:3;0 --> LPC_20:3;0","PC_18:2;0_20:3;0","LPC_20:3;0",-1.61087518606441,0.711165741113815,"Suppressed","no","18:2;0_20:3;0"
"PC_18:0;0_20:4;0 --> LPC_18:0;0","PC_18:0;0_20:4;0","LPC_18:0;0",-1.64087953946793,0.6965309448791,"Suppressed","no","18:0;0_20:4;0"
"DAG_18:1;0_18:1;0 --> TAG_56:5;0","DAG_18:1;0_18:1;0","TAG_56:5;0",-1.64453493617487,0.69474800407569,"Suppressed","no","18:1;0_18:1;0"
"DAG_16:0;0_18:1;0 --> PE_16:0;0_18:1;0 --> PC_16:0;0_18:1;0","DAG_16:0;0_18:1;0","PC_16:0;0_18:1;0",-2.30610370334691,0.675229278457632,"Suppressed","no","16:0;0_18:1;0"
"DAG_16:1;0_18:1;0 --> TAG_56:5;0","DAG_16:1;0_18:1;0","TAG_56:5;0",-1.774176498255,0.631514585275546,"Suppressed","no","16:1;0_18:1;0"
