"group","value","Data","feature"
"Control",2.3998,"Substructure","PC_18:2;0_20:2;0"
"Control",4.17476,"Substructure","PC_18:2;0_20:2;0"
"Control",1.55592,"Substructure","PC_18:2;0_20:2;0"
"Control",3.09872,"Substructure","PC_18:2;0_20:2;0"
"Control",5.09932,"Substructure","PC_18:2;0_20:2;0"
"Control",0.95564,"Substructure","PC_18:2;0_20:2;0"
"Control",3.3624,"Substructure","PC_18:2;0_20:2;0"
"Control",3.9354,"Substructure","PC_18:2;0_20:2;0"
"Control",4.48524,"Substructure","PC_18:2;0_20:2;0"
"Control",3.18804,"Substructure","PC_18:2;0_20:2;0"
"Control",5.18332,"Substructure","PC_18:2;0_20:2;0"
"Control",3.385,"Substructure","PC_18:2;0_20:2;0"
"Control",5.0386,"Substructure","PC_18:2;0_20:2;0"
"Control",4.3886,"Substructure","PC_18:2;0_20:2;0"
"Control",2.6198,"Substructure","PC_18:2;0_20:2;0"
"Control",0.81968,"Substructure","PC_18:2;0_20:2;0"
"Control",3.73836,"Substructure","PC_18:2;0_20:2;0"
"Control",1.4082,"Substructure","PC_18:2;0_20:2;0"
"Control",3.6118,"Substructure","PC_18:2;0_20:2;0"
"Control",3.38684,"Substructure","PC_18:2;0_20:2;0"
"Control",1.14968,"Substructure","PC_18:2;0_20:2;0"
"Control",2.2186,"Substructure","PC_18:2;0_20:2;0"
"Control",3.33652,"Substructure","PC_18:2;0_20:2;0"
"Control",2.9862,"Substructure","PC_18:2;0_20:2;0"
"Control",4.07004,"Substructure","PC_18:2;0_20:2;0"
"Control",5.29264,"Substructure","PC_18:2;0_20:2;0"
"Control",6.66952,"Substructure","PC_18:2;0_20:2;0"
"Control",3.10012,"Substructure","PC_18:2;0_20:2;0"
"Control",4.05624,"Substructure","PC_18:2;0_20:2;0"
"Control",4.10864,"Substructure","PC_18:2;0_20:2;0"
"Control",2.42888,"Substructure","PC_18:2;0_20:2;0"
"Control",1.74504,"Substructure","PC_18:2;0_20:2;0"
"Control",1.6674,"Substructure","PC_18:2;0_20:2;0"
"Control",3.9136,"Substructure","PC_18:2;0_20:2;0"
"Control",1.84292,"Substructure","PC_18:2;0_20:2;0"
"Control",3.08208,"Substructure","PC_18:2;0_20:2;0"
"Control",3.43732,"Substructure","PC_18:2;0_20:2;0"
"Control",3.20844,"Substructure","PC_18:2;0_20:2;0"
"Control",4.37184,"Substructure","PC_18:2;0_20:2;0"
"Control",1.90548,"Substructure","PC_18:2;0_20:2;0"
"Control",2.28572,"Substructure","PC_18:2;0_20:2;0"
"Control",4.95928,"Substructure","PC_18:2;0_20:2;0"
"Control",3.16716,"Substructure","PC_18:2;0_20:2;0"
"Control",3.94116,"Substructure","PC_18:2;0_20:2;0"
"Control",5.35204,"Substructure","PC_18:2;0_20:2;0"
"Control",5.82988,"Substructure","PC_18:2;0_20:2;0"
"Control",2.01288,"Substructure","PC_18:2;0_20:2;0"
"Control",1.50876,"Substructure","PC_18:2;0_20:2;0"
"Control",4.32636,"Substructure","PC_18:2;0_20:2;0"
"Control",3.60388,"Substructure","PC_18:2;0_20:2;0"
"Control",3.71036,"Substructure","PC_18:2;0_20:2;0"
"Control",5.56024,"Substructure","PC_18:2;0_20:2;0"
"Control",1.68332,"Substructure","PC_18:2;0_20:2;0"
"Control",2.34384,"Substructure","PC_18:2;0_20:2;0"
"Control",3.08388,"Substructure","PC_18:2;0_20:2;0"
"Control",3.96024,"Substructure","PC_18:2;0_20:2;0"
"Control",4.01288,"Substructure","PC_18:2;0_20:2;0"
"Control",4.5988,"Substructure","PC_18:2;0_20:2;0"
"Control",4.6076,"Substructure","PC_18:2;0_20:2;0"
"Control",4.71008,"Substructure","PC_18:2;0_20:2;0"
"Control",4.13952,"Substructure","PC_18:2;0_20:2;0"
"Control",2.93772,"Substructure","PC_18:2;0_20:2;0"
"Control",4.29132,"Substructure","PC_18:2;0_20:2;0"
"Control",3.4478,"Substructure","PC_18:2;0_20:2;0"
"Control",2.2068,"Substructure","PC_18:2;0_20:2;0"
"Control",2.39076,"Substructure","PC_18:2;0_20:2;0"
"Control",4.98348,"Substructure","PC_18:2;0_20:2;0"
"Control",3.20632,"Substructure","PC_18:2;0_20:2;0"
"Control",3.94308,"Substructure","PC_18:2;0_20:2;0"
"Control",1.76456,"Substructure","PC_18:2;0_20:2;0"
"Control",2.98632,"Substructure","PC_18:2;0_20:2;0"
"Control",3.65388,"Substructure","PC_18:2;0_20:2;0"
"Control",3.23924,"Substructure","PC_18:2;0_20:2;0"
"Control",3.50984,"Substructure","PC_18:2;0_20:2;0"
"Control",4.42668,"Substructure","PC_18:2;0_20:2;0"
"Control",3.46504,"Substructure","PC_18:2;0_20:2;0"
"Control",2.70548,"Substructure","PC_18:2;0_20:2;0"
"Control",3.8986,"Substructure","PC_18:2;0_20:2;0"
"Control",5.71276,"Substructure","PC_18:2;0_20:2;0"
"Control",2.04388,"Substructure","PC_18:2;0_20:2;0"
"Control",6.2168,"Substructure","PC_18:2;0_20:2;0"
"Control",1.24732,"Substructure","PC_18:2;0_20:2;0"
"Control",2.95052,"Substructure","PC_18:2;0_20:2;0"
"Control",2.45728,"Substructure","PC_18:2;0_20:2;0"
"Control",2.8522,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.41396,"Substructure","PC_18:2;0_20:2;0"
"CVD",4.5524,"Substructure","PC_18:2;0_20:2;0"
"CVD",2.52812,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.40804,"Substructure","PC_18:2;0_20:2;0"
"CVD",1.74224,"Substructure","PC_18:2;0_20:2;0"
"CVD",3.02112,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.41408,"Substructure","PC_18:2;0_20:2;0"
