"edge_name","FC_ctrl","FC_exp","FC_exp_ctrl","statistics","p_value","mlog10p","adj_p_value","mlog10padj","perturbation_score","Mode","edge_type","node1_log2FC","node2_log2FC","FA_change"
"w3-22:5;0 --> w3-22:6;0",0.289432643004145,16.4463360310517,56.8226716252463,3.37798014604004,0.00616455833093763,2.21009803363562,0.0298848246359085,1.52454928826198,12.8813237962112,"Increase","Non-change",0.428815603237026,5.73408860378534," (0:1)"
"w3-18:3;0 --> w3-18:4;0",4.6117092723709,185.152353060995,40.1483142422391,1.78172748978616,0.102386320818296,0.98975806279348,0.236276124965298,0.626580160380654,5.27270596835494,"Increase","Increase",-0.0945238630909225,3.34774417471119," (0:1)"
"w3-24:6;0 --> w3-22:6;0",5.75955698864551,111.005590862987,19.2732863103578,2.07466023252069,0.0622698790786631,1.20572197763046,0.155674697696658,0.807781968958423,5.1466612568003,"Increase","Non-change",4.95436487206344,5.73408860378534," (2:0)"
"w9-22:1;0 --> w9-24:1;0",0.364316109564621,0.688282176019058,1.88924441700257,2.6928312680395,0.0209230379595204,1.67937525702908,0.0699742743472472,1.15506159659342,1.54134632888271,"Increase","Non-change",-1.49621087784184,-0.648394632550716," (2:0)"
"w9-20:2;0 --> w9-20:3;0",0.506379738211078,0.775116550434998,1.53070214296746,3.30841325783768,0.00697312574837865,2.15657250296738,0.0298848246359085,1.52454928826198,1.32455298242882,"Increase","Non-change",-1.18537904460461,-0.498306491469371," (0:1)"
"w6-22:4;0 --> w6-24:4;0",0.531283575959156,1.74991367565065,3.29374698340982,1.44457583153764,0.17645264324062,0.753371831573112,0.333028096616639,0.477519124779507,1.29559594060893,"Increase","Increase",-0.256018434735073,0.428065735157013," (2:0)"
"w6-22:4;0 --> w6-22:5;0",0.528159698521743,1.74351653086855,3.301116188434,1.44036194034489,0.177614984862207,0.750520396843245,0.333028096616639,0.477519124779507,1.29311205796114,"Increase","Increase",-0.256018434735073,0.428815603237026," (0:1)"
"22:0;0 --> 24:0;0",0.972677506527638,2.12152505242157,2.18111865256883,1.5452852451612,0.150544965637776,0.822333763115625,0.322596354938092,0.491340544074201,0.925181611513361,"Increase","Increase",-0.523614392387865,0.824151066749287," (2:0)"
"w6-20:3;0 --> w6-20:4;0",4.85642082438824,7.42692144524809,1.52929939842758,2.32283377441682,0.0403757478442444,1.39387942053401,0.110115675938848,0.958150850972573,0.854268104036041,"Increase","Increase",-0.498306491469371,0.0424222435673563," (0:1)"
"w9-20:1;0 --> w9-20:2;0",1.30692043750941,1.40153427676769,1.07239449054648,1.38312546629611,0.194055457153964,0.712074139687539,0.342450806742289,0.46540180634615,0.0718025032782703,"Increase","Non-change",-1.28146725092346,-1.18537904460461," (0:1)"
"20:0;0 --> 22:0;0",0.716669636984986,0.746951819326071,1.04225403279045,0.409720971804202,0.689876338708122,0.161228750175477,0.851690249066831,0.069718324928615,0.00962647763030479,"Increase","Non-change",-0.536307054663424,-0.523614392387865," (2:0)"
"w7-16:1;0 --> w7-18:1;0",0.767682663225275,0.773065023265043,1.00701117831313,0.302422524513911,0.767971706460624,0.114654779909078,0.851690249066831,0.069718324928615,0.00115568556137767,"Increase","Non-change",-0.324081871300237,-0.311670170165127," (2:0)"
"exo: 14:0;0 --> 16:0;0",1.81188030055228,1.82169837255593,1.00541871998975,0.233694500240212,0.8195143309219,0.0864434474798361,0.851690249066831,0.069718324928615,0.000673952541373464,"Increase","Non-change",0.311748250590273,0.315310347995238," (2:0)"
"endo: 14:0;0 --> 16:0;0",1.81188030055228,1.82169837255593,1.00541871998975,0.233694500240212,0.8195143309219,0.0864434474798361,0.851690249066831,0.069718324928615,0.000673952541373464,"Increase","Non-change",0.311748250590273,0.315310347995238," (2:0)"
"w9-18:2;0 --> w9-20:2;0",2,2,1,NA,NA,NA,NA,NA,0,NA,"Non-change",-1.18537904460461,-1.18537904460461," (2:0)"
"w6-24:5;0 --> w6-22:5;0",1,1,1,NA,NA,NA,NA,NA,0,NA,"Non-change",0.428815603237026,0.428815603237026," (2:0)"
"w3-18:4;0 --> w3-20:4;0",1,1,1,NA,NA,NA,NA,NA,0,NA,"Non-change",3.34774417471119,3.34774417471119," (2:0)"
"w3-20:4;0 --> w3-20:5;0",1,1,1,NA,NA,NA,NA,NA,0,NA,"Non-change",3.34774417471119,3.34774417471119," (0:1)"
"w6-22:5;0 --> w6-24:5;0",1,1,1,NA,NA,NA,NA,NA,0,NA,"Non-change",0.428815603237026,0.428815603237026," (2:0)"
"endo: 2:0;0--10:0;0 --> endo: 12:0;0",1,1,1,NA,NA,NA,NA,NA,0,NA,"Non-change",0.311973000925115,0.311973000925115,""
"endo: 12:0;0 --> endo: 14:0;0",0.999670374657689,0.999524024572159,0.999853601657866,-0.371632949158397,0.717225341032317,0.14434437433005,0.851690249066831,0.069718324928615,-3.04889418446309e-05,"Decrease","Non-change",0.311973000925115,0.311748250590273," (2:0)"
"w6-24:4;0 --> w6-24:5;0",0.996425452493964,0.99542571157398,0.998996672638699,-0.272172522886695,0.790530342446329,0.102081456150353,0.851690249066831,0.069718324928615,-0.000147836615743217,"Decrease","Non-change",0.428065735157013,0.428815603237026," (0:1)"
"exo: 12:0;0 --> exo: 14:0;0",1.10489671454079,1.09906908286368,0.994725632178629,-0.228696950731111,0.823300574097936,0.0844415817493214,0.851690249066831,0.069718324928615,-0.000644242173638733,"Decrease","Non-change",0.315555879487112,0.311748250590273," (2:0)"
"w6-18:3;0 --> w6-20:3;0",0.978122471933005,0.965945964159947,0.987551141986346,-0.438097491367311,0.669794399856719,0.174058487912145,0.851690249066831,0.069718324928615,-0.00314569506845344,"Decrease","Non-change",-0.488516499225432,-0.498306491469371," (2:0)"
"w9-20:1;0 --> w9-22:1;0",0.025495083056429,0.0240311466966927,0.942579659125011,-0.152048256088761,0.881901783335335,0.0545797791886228,0.881901783335335,0.0545797791886228,-0.00465639453338446,"Decrease","Non-change",-1.28146725092346,-1.49621087784184," (2:0)"
"16:0;0 --> 18:0;0",0.356551473334372,0.341595062454413,0.958052589882493,-0.576642388004206,0.575790915351205,0.239735191566249,0.822558450501722,0.0848332315805059,-0.0148212071581937,"Decrease","Non-change",0.315310347995238,0.231787793718878," (2:0)"
"w6-18:2;0 --> w6-18:3;0",0.187581136781861,0.168800335011565,0.89987904918107,-0.952404612029456,0.361351071447449,0.442070653211024,0.570554323338077,0.24370299944419,-0.0672818227730062,"Decrease","Non-change",-0.356679395771565,-0.488516499225432," (0:1)"
"w6-20:4;0 --> w6-22:4;0",0.184755531192991,0.153384339105473,0.830201608119928,-0.772743045299432,0.455957958781461,0.341075199245526,0.683936938172191,0.164983940189845,-0.0915672200958583,"Decrease","Decrease",0.0424222435673563,-0.256018434735073," (2:0)"
"18:0;0 --> 20:0;0",0.00439150459632455,0.0028026221714468,0.638191788252354,-1.15765832601798,0.271522370550389,0.566194383362953,0.452537284250648,0.344345633746597,-0.366858884456617,"Decrease","Decrease",0.231787793718878,-0.536307054663424," (2:0)"
