"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"PS_18:1_20:2 --> PE_18:1_20:2 --> PC_18:1_20:2 --> PG_18:1_20:2","PS_18:1;0_20:2;0","PG_18:1;0_20:2;0",-5.42700238849915,-2.43689723073439,"Suppressed","yes","18:1;0_20:2;0"
"PC_18:1_19:1 --> PS_18:1_19:1","PC_18:1;0_19:1;0","PS_18:1;0_19:1;0",-4.59069609678851,-2.1941635340176,"Suppressed","yes","18:1;0_19:1;0"
"PE_18:1_18:1 --> PC_18:1_18:1 --> PG_18:1_18:1","PE_18:1;0_18:1;0","PG_18:1;0_18:1;0",-4.59464816935607,-2.04171376051222,"Suppressed","yes","18:1;0_18:1;0"
"PS_16:1_18:1 --> PE_16:1_18:1 --> PC_16:1_18:1 --> PG_16:1_18:1","PS_16:1;0_18:1;0","PG_16:1;0_18:1;0",-4.73096258365655,-1.98702990287668,"Suppressed","yes","16:1;0_18:1;0"
"PC_18:1_20:1 --> PS_18:1_20:1 --> PE_18:1_20:1","PC_18:1;0_20:1;0","PE_18:1;0_20:1;0",-4.01946688159289,-1.67114652591383,"Suppressed","no","18:1;0_20:1;0"
"PC_18:0_22:6 --> PS_18:0_22:6 --> PE_18:0_22:6 --> LPE_22:6","PC_18:0;0_22:6;0","LPE_22:6;0",4.87062882231006,4.21871039951959,"Active","yes","18:0;0_22:6;0"
"PE_18:1_22:6 --> LPE_22:6","PE_18:1;0_22:6;0","LPE_22:6;0",3.19770727872284,2.80801227177723,"Active","yes","18:1;0_22:6;0"
"PC_14:0_16:0 --> LPC_14:0","PC_14:0;0_16:0;0","LPC_14:0;0",2.65817363620657,2.46149168175578,"Active","yes","14:0;0_16:0;0"
"PC_14:0_18:0 --> LPC_14:0","PC_14:0;0_18:0;0","LPC_14:0;0",2.56326507249039,2.40053575814805,"Active","yes","14:0;0_18:0;0"
"PC_16:0_22:6 --> LPC_16:0","PC_16:0;0_22:6;0","LPC_16:0;0",2.45903324411588,2.33359187954412,"Active","yes","16:0;0_22:6;0"
