"edge_name","FC_ctrl","FC_exp","FC_exp_ctrl","statistics","p_value","mlog10p","adj_p_value","mlog10padj","perturbation_score","Mode","edge_type","node1_log2FC","node2_log2FC","FA_change","genes","Edge_direction","node1","node2"
"LPE_18:0 --> PE_18:0_22:6",0.33541748132175,18.8849161273615,56.3027187877729,4.61682411529662,0.000744215839339921,3.12830109101333,0.147106664242858,0.832367652368728,18.1914859222833,"Increase","Non-change",0.151785133419141,8.29810702736056," (22:6)","Lpcat3, Lpcat4, Mboat1, Mboat2","","LPE_18:0","PE_18:0_22:6"
"PC_18:1_19:1 --> LPC_18:1",0.693695600517929,10.3742726874251,14.9550792590863,2.68726333509419,0.0211322115406422,1.67505505052751,0.544843541026124,0.263728193180839,6.53700895424116,"Increase","Increase",-3.97512544589208,0.110192516686674," (19:1)","Pla2g10, Pla2g12a, Pla2g12b, Pla2g15, Pla2g1b, Pla2g2a, Pla2g2c, Pla2g2d, Pla2g2f, Pla2g3, Pla2g4a, Pla2g4b, Pla2g4c, Pla2g4d, Pla2g4e, Pla2g4f, Pla2g5, Pla2g6, Plaat1, Plaat3, Plb1, Pnpla2, Pnpla8","Same as
reaction","PC_18:1_19:1","LPC_18:1"
"LPC_16:0 --> PC_16:0_22:6",1.29540533508017,29.2072482627602,22.546802511781,2.32621884519413,0.0401356430831521,1.39646977404196,0.663636744379299,0.178069575873441,6.2769234852176,"Increase","Non-change",0.225289812949039,6.55882343215239," (22:6)","Lpcat1, Lpcat2, Lpcat2b, Lpcat3, Lpcat4, Mboat2","","LPC_16:0","PC_16:0_22:6"
"LPI_18:0 --> PI_18:0_22:6",0.56333728686873,6.88963458686402,12.2300347366665,2.70852993772081,0.0203442630391137,1.69155803762899,0.544843541026124,0.263728193180839,6.11051083543889,"Increase","Non-change",0.0633039483860445,4.5675785660008," (22:6)","Agpat3, Agpat4, Lclat1, Mboat7","","LPI_18:0","PI_18:0_22:6"
"PC_18:1_19:1 --> PS_18:1_19:1",0.509938631523817,1.38166035206866,2.7094639759689,2.80713138374199,0.0170558071881298,1.76812772222227,0.544843541026124,0.263728193180839,2.54258086488742,"Increase","Non-change",-3.97512544589208,-Inf,"","Ptdss1","","PC_18:1_19:1","PS_18:1_19:1"
"PE_18:0_22:6 --> PS_18:0_22:6",5.16352184723222,0.967242467103427,0.187322237751719,-3.07744794334277,0.010519116878082,1.97802071940994,0.479833562207896,0.318909378352517,-4.77970097072202,"Decrease","Non-change",8.29810702736056,3.98663662268223,"","Peds1, Ptdss1, Ptdss2","","PE_18:0_22:6","PS_18:0_22:6"
"LPC_18:1 --> PC_18:1_19:1",1.94632566690258,0.31955854496549,0.164185547362195,-3.15661822767101,0.00913381349815584,2.03934786042649,0.457419538578468,0.33968528853648,-5.31576608508167,"Decrease","Decrease",0.110192516686674,-3.97512544589208," (19:1)","Lpcat1, Lpcat2, Lpcat2b, Lpcat3, Lpcat4, Mboat2","Same as
reaction","LPC_18:1","PC_18:1_19:1"
"PE_18:0_22:6 --> LPE_22:6",0.056236500209549,0.0177245214402445,0.315178244986783,-6.48610534453063,0.0000451278042148026,4.34555579744804,0.013380393949689,1.87353109974776,-7.23865362452101,"Decrease","Non-change",8.29810702736056,6.95006224973679," (18:0)","Pla2g10, Pla2g12a, Pla2g12b, Pla2g1b, Pla2g2a, Pla2g2c, Pla2g2d, Pla2g2f, Pla2g3, Pla2g4a, Pla2g4b, Pla2g4c, Pla2g4d, Pla2g4e, Pla2g4f, Pla2g5, Pla2g6, Plaat3, Plb1, Pnpla8","","PE_18:0_22:6","LPE_22:6"
"PE_18:0_22:6 --> LPE_18:0",5.51336525690803,0.199298100352627,0.0361481764885637,-3.89327606621828,0.00250541022959785,2.60112115368333,0.297141653230305,0.527036464655082,-12.4591968786493,"Decrease","Non-change",8.29810702736056,0.151785133419141," (22:6)","Pla2g10, Pla2g12a, Pla2g12b, Pla2g1b, Pla2g2a, Pla2g2c, Pla2g2d, Pla2g2f, Pla2g3, Pla2g4a, Pla2g4b, Pla2g4c, Pla2g4d, Pla2g4e, Pla2g4f, Pla2g5, Pla2g6, Plaat3, Plb1, Pnpla8","","PE_18:0_22:6","LPE_18:0"
"PE_18:0_22:6 --> PC_18:0_22:6",2.42930676896956,0.222553542323805,0.091611954968621,-34.4292189511944,0.00000000000148757990476196,11.8275196970178,0.000000000882134883523843,9.05446500365352,-40.7850764310855,"Decrease","Non-change",8.29810702736056,4.783270493815,"","Pemt","","PE_18:0_22:6","PC_18:0_22:6"
