"feature","class","totallength","totaldb","totaloh","FA_sum","FA_split","FA_num"
"FaCN_12:0;0","FaCN",12,0,0,"12:0;0","12:0;0",NA
"FaCN_14:0;0","FaCN",14,0,0,"14:0;0","14:0;0",NA
"FaCN_14:1;0","FaCN",14,1,0,"14:1;0","14:1;0",NA
"FaCN_16:0;0","FaCN",16,0,0,"16:0;0","16:0;0",NA
"FaCN_16:1;0","FaCN",16,1,0,"16:1;0","16:1;0",NA
"FaCN_18:0;0","FaCN",18,0,0,"18:0;0","18:0;0",NA
"FaCN_18:1;0","FaCN",18,1,0,"18:1;0","18:1;0",NA
"FaCN_18:2;0","FaCN",18,2,0,"18:2;0","18:2;0",NA
"FaCN_20:0;0","FaCN",20,0,0,"20:0;0","20:0;0",NA
"FaCN_20:1;0","FaCN",20,1,0,"20:1;0","20:1;0",NA
"FaCN_20:2;0","FaCN",20,2,0,"20:2;0","20:2;0",NA
"FaCN_20:3;0","FaCN",20,3,0,"20:3;0","20:3;0",NA
"FaCN_20:4;0","FaCN",20,4,0,"20:4;0","20:4;0",NA
"FaCoA_16:1;0","FaCoA",16,1,0,"16:1;0","16:1;0",NA
"FaCoA_17:1;0","FaCoA",17,1,0,"17:1;0","17:1;0",NA
"FaCoA_18:1;0","FaCoA",18,1,0,"18:1;0","18:1;0",NA
"FaCoA_18:2;0","FaCoA",18,2,0,"18:2;0","18:2;0",NA
"FaCoA_18:3;0","FaCoA",18,3,0,"18:3;0","18:3;0",NA
"FA_14:0;0","FA",14,0,0,"14:0;0","14:0;0",NA
"FA_16:0;0","FA",16,0,0,"16:0;0","16:0;0",NA
"FA_16:1;0","FA",16,1,0,"16:1;0","16:1;0",NA
"FA_18:0;0","FA",18,0,0,"18:0;0","18:0;0",NA
"FA_18:1;0","FA",18,1,0,"18:1;0","18:1;0",NA
"FA_18:2;0","FA",18,2,0,"18:2;0","18:2;0",NA
"FA_18:3;0","FA",18,3,0,"18:3;0","18:3;0",NA
"FA_20:0;0","FA",20,0,0,"20:0;0","20:0;0",NA
"FA_20:1;0","FA",20,1,0,"20:1;0","20:1;0",NA
"FA_20:2;0","FA",20,2,0,"20:2;0","20:2;0",NA
"FA_20:3;0","FA",20,3,0,"20:3;0","20:3;0",NA
"FA_20:4;0","FA",20,4,0,"20:4;0","20:4;0",NA
"FA_20:5;0","FA",20,5,0,"20:5;0","20:5;0",NA
"FA_22:0;0","FA",22,0,0,"22:0;0","22:0;0",NA
"FA_22:1;0","FA",22,1,0,"22:1;0","22:1;0",NA
"FA_22:2;0","FA",22,2,0,"22:2;0","22:2;0",NA
"FA_22:3;0","FA",22,3,0,"22:3;0","22:3;0",NA
"FA_22:4;0","FA",22,4,0,"22:4;0","22:4;0",NA
"FA_22:5;0","FA",22,5,0,"22:5;0","22:5;0",NA
"FA_22:6;0","FA",22,6,0,"22:6;0","22:6;0",NA
"FA_24:0;0","FA",24,0,0,"24:0;0","24:0;0",NA
"FA_24:1;0","FA",24,1,0,"24:1;0","24:1;0",NA
"FA_24:2;0","FA",24,2,0,"24:2;0","24:2;0",NA
