"feature","AL_young_1","AL_young_2","AL_young_3","AL_young_4","ALDR_young_1","ALDR_young_2","ALDR_young_3","ALDR_young_4"
"FaCN_12:0;0",0.163819567,0.165378561,0.214989408,0.20525133,0.266973135,0.347796797,0.391573589,0.213782405
"FaCN_14:0;0",0.875784228,1.332792357,1.264205802,1.672201889,1.808248414,3.008862358,2.335150486,1.227613152
"FaCN_14:1;0",0.436965417,0.900518116,0.60006518,0.582977937,0.469245352,0.522371922,0.510302018,0.287762485
"FaCN_16:0;0",2.89384093,2.867732347,4.078695502,3.832359989,5.817212025,10.16290865,12.29280982,5.03772106
"FaCN_16:1;0",1.037057885,1.240205379,1.359475258,1.397090336,1.422567207,1.978160389,2.185409188,0.981080126
"FaCN_18:0;0",0.277625891,0.194661766,0.268312173,0.388036107,1.198751744,2.940110901,4.088974604,1.413265191
"FaCN_18:1;0",3.592804262,3.871890663,4.473432181,4.836439551,9.243682048,13.55936792,14.31787397,6.751265267
"FaCN_18:2;0",0.811028301,1.040425554,1.090706769,1.048573465,2.210784878,2.72460642,3.479580538,1.048076372
"FaCN_20:0;0",NA,NA,NA,0.005442626,0.011884962,0.08828591,0.136580704,0.006233983
"FaCN_20:1;0",0.060821447,0.015952286,0.045354156,0.081159949,0.267476067,0.590087489,1.0390347,0.155461787
"FaCN_20:2;0",0.010531155,0.004074729,0.015532042,0.019089191,0.132915548,0.143977007,0.572709303,0.055761443
"FaCN_20:3;0",0.00451993,0.003678121,0.00517696,0.019877254,0.009047581,0.050751234,0.102525833,0.004138561
"FaCN_20:4;0",0.081241098,0.050612981,0.096236909,0.080239072,0.177809874,0.21314734,0.380006451,0.107399766
"FaCoA_16:1;0",87.85862941,146.4858746,161.903719,298.2762593,764.7743138,1041.981678,1082.652129,604.4288609
"FaCoA_17:1;0",71.979885,132.0448915,138.9180188,178.6512482,326.3511618,354.1707152,399.8622284,381.8942571
"FaCoA_18:1;0",63.95580548,99.34954635,113.8913334,184.212862,398.7666287,577.0865333,573.3533533,350.6269945
"FaCoA_18:2;0",5.336280926,4.999208099,15.30038586,10.67763625,46.1773974,78.20890385,78.70706924,53.59655486
"FaCoA_18:3;0",16.47815351,15.56688594,15.50721287,30.78885106,110.2952306,182.2339843,215.4742427,107.3910425
"FA_14:0;0",560.5156742,531.3539938,622.763918,635.9269707,810.0401193,822.8213341,839.6838927,726.8768032
"FA_16:0;0",25006.43082,25477.97743,28758.27176,29175.45585,33295.70829,32934.66572,33290.68717,33422.60286
"FA_16:1;0",452.2768405,373.7274066,423.7161912,1031.758208,1375.381833,1280.476177,1068.423734,1164.002628
"FA_18:0;0",19293.2279,21057.75802,21237.46489,17970.36756,18696.59695,19763.06225,20423.42259,19996.61941
"FA_18:1;0",5565.716053,5066.296737,6504.56928,13868.89191,18577.83211,16437.12777,15345.54348,15902.77862
"FA_18:2;0",1644.801118,1750.123421,1725.132308,3451.1267,6987.744704,5684.594696,5026.646367,4662.755569
"FA_18:3;0",120.133927,131.27004,117.7347696,225.6023044,394.3942297,359.5650486,298.9164991,290.6049486
"FA_20:0;0",563.4767855,597.0903371,713.883088,685.972736,803.1862672,807.6268053,716.0738019,793.9713077
"FA_20:1;0",233.892096,193.5316935,324.9761947,747.5195335,823.2278999,754.8676626,593.9047153,639.9439661
"FA_20:2;0",97.29305925,82.98772196,123.6339968,256.2301798,326.9697581,249.5388982,187.7208416,232.4926932
"FA_20:3;0",150.6793728,157.7955088,191.1737287,418.76103,383.6456533,256.4483635,180.959728,252.3453024
"FA_20:4;0",274.8615007,245.455798,294.5473131,588.0131241,704.3762005,507.6019996,359.8912401,456.3167252
"FA_20:5;0",17.19877043,14.38591312,16.2756235,37.31748688,33.62557688,26.69697693,17.2387859,30.03287186
"FA_22:0;0",71.17905627,73.79198549,90.47589256,90.21212496,111.5917762,110.1498391,104.9715183,106.9591523
"FA_22:1;0",22.94013799,20.82189205,29.48018154,44.25773103,63.43531605,62.65983857,53.1127542,51.94079805
"FA_22:2;0",2.382648002,2.127546301,3.302564878,7.169363132,12.54782218,10.84117934,9.078828599,10.0710347
"FA_22:3;0",8.000437844,5.869089294,11.53707189,25.17166366,16.70443422,11.86181991,9.593520136,10.1556207
"FA_22:4;0",49.19084785,40.35584051,72.80652039,129.6419379,107.9563944,77.76096119,56.11530672,81.86178701
"FA_22:5;0",66.76322815,62.32812514,103.723946,169.016777,115.7849468,77.40398904,52.02258447,86.85352561
"FA_22:6;0",144.5495612,134.1854917,201.7543797,318.9074696,260.705395,188.340676,130.660841,217.5904535
"FA_24:0;0",147.4916548,152.4421901,182.9454203,185.7437311,219.8240159,240.1609294,215.0433073,215.9811628
"FA_24:1;0",68.5776645,63.93652557,86.08532533,92.30254207,126.4622795,132.227552,119.7355049,118.3487861
"FA_24:2;0",1.566472861,1.415186431,2.063328053,3.359697341,6.480706285,6.707057443,6.266115911,5.1589333
"FA_26:0;0",47.27406519,47.5069537,58.37640273,57.4124951,71.37137546,97.48071609,68.53776771,68.36998339
"FA_26:1;0",20.04574787,19.94708879,24.46451366,25.67308781,34.14993925,36.41209693,31.51332676,32.60358392
"MAG_16:0;0",28.27393135,29.6169251,25.91969055,43.43068572,47.91533027,68.35119646,66.20766677,48.22692328
"MAG_16:1;0",2.188693919,2.768216272,2.124618233,4.904565101,3.021190782,4.998005911,4.782588062,3.737944646
"MAG_18:0;0",61.31070312,66.27606307,68.98705921,68.25904344,78.62710114,92.65966043,94.77008882,83.85220123
"MAG_18:1;0",67.79099647,60.46021952,92.70487788,83.815214,65.27176296,86.52422565,91.66950401,59.64077655
"MAG_18:2;0",26.9568422,24.58726712,34.76445535,23.68389618,32.97091689,36.33937951,30.87941961,21.89528362
"MAG_20:4;0",0.534601987,0.840975999,0.41069588,0.716342168,3.689056374,2.593669369,4.947448799,1.58918752
"MAG_22:6;0",0.167352187,0.49072072,0.460454329,0.509795639,0.691509958,0.528100149,0.146342731,0.25834541
"DAG O-_32:0;0",81.26790198,95.88609102,44.94276306,69.12311228,146.6288246,136.5398147,108.0601447,111.4282394
"DAG O-_32:1;0",88.82094302,126.2714184,61.02135958,85.42642339,158.3761121,160.0264089,111.5245089,113.0793157
"DAG O-_34:0;0",8.911161972,8.18945821,6.613488579,8.899510146,29.12021233,26.00826514,31.22265905,24.53963152
"DAG O-_34:1;0",137.4310958,190.038006,86.43140918,131.1729853,238.824164,218.4417373,178.3775375,177.7077788
"DAG O-_34:2;0",164.8557866,248.9523108,104.0849158,174.9277445,285.1421443,332.1719652,227.95365,208.9887124
"DAG O-_34:3;0",108.5710032,167.8889996,55.6377886,96.4368529,145.5223069,156.4082595,89.316837,86.86238333
"DAG O-_34:4;0",7.262396302,10.43332426,4.004749866,5.375446438,8.83192108,10.11851352,3.219536417,5.564360523
"DAG O-_36:0;0",0.326276142,1.488224037,1.125049078,0.663320509,3.041225623,1.369544252,4.73845579,2.278746931
"DAG O-_36:1;0",11.05586274,18.75153265,9.274319702,16.33637119,30.36971034,33.40849086,40.07108861,32.99675071
"DAG O-_36:2;0",52.27240116,88.48955645,33.64381986,48.27513253,83.59826953,88.6394125,72.1520263,74.39902554
"DAG O-_36:3;0",50.41066349,110.4823022,39.89825898,54.92926857,96.74472944,105.7593044,71.80154283,61.97813585
"DAG O-_36:4;0",24.19343598,39.10647714,13.44828807,13.59909598,29.75707381,30.45828066,17.68905076,27.07441207
"DAG O-_36:5;0",160.1565967,242.2365665,103.5452022,160.5730549,60.47025787,62.59384469,29.23577775,69.48970764
"DAG O-_38:2;0",4.505151055,9.00591903,4.960459851,6.043850107,9.238641531,13.61694203,16.36039262,8.256671279
"DAG O-_38:3;0",3.017292889,3.933139996,2.403428224,5.518560507,4.432514524,9.325648648,6.334140474,3.664241431
"DAG O-_38:4;0",3.529590082,3.46578528,1.800753972,3.079826973,5.488945195,5.767067288,3.785731827,1.122152201
"DAG O-_38:5;0",38.30917013,66.9445492,28.56447895,35.97149789,32.41669872,30.6038761,20.70569354,9.55639662
