"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"PE_36:2;0 --> PC_36:2;0 --> LPC_18:2;0","PE_36:2;0","LPC_18:2;0",4.87297108113905,2.98100058295298,"Active","yes","36:2"
"PE_36:2;0 --> PC_36:2;0 --> LPC_16:0;0","PE_36:2;0","LPC_16:0;0",4.73225026136152,2.92373932930814,"Active","yes","36:2"
"PE_36:2;0 --> PC_36:2;0","PE_36:2;0","PC_36:2;0",5.35912434257691,2.91841485761515,"Active","yes","36:2"
"PE_36:2;0 --> PC_36:2;0 --> LPC_18:1;0","PE_36:2;0","LPC_18:1;0",4.59481262673926,2.86781404924729,"Active","yes","36:2"
"PC_36:2;0 --> PS_36:2;0 --> PE_36:2;0 --> LPE_18:1;0","PC_36:2;0","LPE_18:1;0",4.0346104667316,2.78720806095041,"Active","yes","36:2"
"PS_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_18:2;0","PS_36:2;0","LPC_18:2;0",4.02597010357387,2.78369527955394,"Active","yes","36:2"
"PS_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_16:0;0","PS_36:2;0","LPC_16:0;0",3.90410229880516,2.73414933459714,"Active","yes","36:2"
"PC_36:2;0 --> PS_36:2;0 --> PE_36:2;0","PC_36:2;0","PE_36:2;0",4.15152546743707,2.6874343548536,"Active","yes","36:2"
"PE_36:2;0 --> PC_36:2;0 --> PS_36:2;0","PE_36:2;0","PS_36:2;0",4.15152546743707,2.6874343548536,"Active","yes","36:2"
"PS_36:2;0 --> PE_36:2;0 --> PC_36:2;0","PS_36:2;0","PC_36:2;0",4.15152546743707,2.6874343548536,"Active","yes","36:2"
"PS_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_18:1;0","PS_36:2;0","LPC_18:1;0",3.78507781578624,2.68575935583811,"Active","yes","36:2"
"PC_36:2;0 --> LPC_18:2;0","PC_36:2;0","LPC_18:2;0",4.7069997121539,2.65833081490302,"Active","yes","36:2"
"PC_36:2;0 --> LPC_16:0;0","PC_36:2;0","LPC_16:0;0",4.53465260983335,2.58959436633157,"Active","yes","36:2"
"PC_36:2;0 --> PS_36:2;0 --> PE_36:2;0 --> LPE_16:0;0","PC_36:2;0","LPE_16:0;0",3.53460441735338,2.58392818528859,"Active","yes","36:2"
"PC_36:2;0 --> LPC_18:1;0","PC_36:2;0","LPC_18:1;0",4.36632657169356,2.52246162137649,"Active","yes","36:2"
"PC_36:1;0 --> PS_36:1;0 --> PE_36:1;0 --> LPE_18:1;0","PC_36:1;0","LPE_18:1;0",3.25708343605969,2.47110068921913,"Active","yes","36:1"
"PS_36:1;0 --> PE_36:1;0 --> PC_36:1;0 --> LPC_16:0;0","PS_36:1;0","LPC_16:0;0",3.12657526813325,2.41804196286586,"Active","yes","36:1"
"PS_36:1;0 --> PE_36:1;0 --> PC_36:1;0 --> LPC_18:1;0","PS_36:1;0","LPC_18:1;0",3.00755078511433,2.36965198410683,"Active","yes","36:1"
"PC_36:1;0 --> PS_36:1;0 --> PE_36:1;0","PC_36:1;0","PE_36:1;0",3.2537145865158,2.32210265298602,"Active","yes","36:1"
"PE_36:1;0 --> PC_36:1;0 --> PS_36:1;0","PE_36:1;0","PS_36:1;0",3.2537145865158,2.32210265298602,"Active","yes","36:1"
"PS_36:1;0 --> PE_36:1;0 --> PC_36:1;0","PS_36:1;0","PC_36:1;0",3.2537145865158,2.32210265298602,"Active","yes","36:1"
"PC_36:2;0 --> PS_36:2;0","PC_36:2;0","PS_36:2;0",3.82341289678445,2.30593371117861,"Active","yes","36:2"
"PE_36:1;0 --> PC_36:1;0 --> LPC_16:0;0","PE_36:1;0","LPC_16:0;0",3.13286371030786,2.27292675501524,"Active","yes","36:1"
"PC_36:1;0 --> PS_36:1;0 --> PE_36:1;0 --> LPE_16:0;0","PC_36:1;0","LPE_16:0;0",2.75707738668147,2.26782081355731,"Active","yes","36:1"
"PE_36:1;0 --> PC_36:1;0 --> LPC_18:1;0","PE_36:1;0","LPC_18:1;0",2.99542607568561,2.21700147495439,"Active","yes","36:1"
"PS_38:2;0 --> PE_38:2;0 --> LPE_18:1;0","PS_38:2;0","LPE_18:1;0",2.9270733971676,2.18918782187796,"Active","yes","38:2"
"PE_36:1;0 --> PC_36:1;0","PE_36:1;0","PC_36:1;0",3.40028386680127,2.13717899226007,"Active","yes","36:1"
"PE_36:2;0 --> PC_36:2;0 --> LPC_18:0;0","PE_36:2;0","LPC_18:0;0",2.48066177290972,2.00753673935126,"Active","yes","36:2"
"PE_36:2;0 --> PC_36:2;0 --> PS_36:2;0 --> LPS_18:1;0","PE_36:2;0","LPS_18:1;0",2.10330579564241,2.00202681385888,"Active","yes","36:2"
"PS_40:2;0 --> LPS_22:1;0","PS_40:2;0","LPS_22:1;0",3.0411899914135,1.99396313678252,"Active","yes","40:2"
"PE_38:2;0 --> PS_38:2;0","PE_38:2;0","PS_38:2;0",2.96367681511862,1.96304889230573,"Active","yes","38:2"
"PS_38:2;0 --> PE_38:2;0","PS_38:2;0","PE_38:2;0",2.96367681511862,1.96304889230573,"Active","yes","38:2"
"PS_38:2;0 --> PE_38:2;0 --> LPE_16:0;0","PS_38:2;0","LPE_16:0;0",2.34971614275768,1.95425314596634,"Active","no","38:2"
"PE_38:2;0 --> LPE_18:1;0","PE_38:2;0","LPE_18:1;0",2.92275423811629,1.94672791811087,"Active","no","38:2"
"PS_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_18:0;0","PS_36:2;0","LPC_18:0;0",1.9541694689373,1.94139471953327,"Active","no","36:2"
"PC_36:2;0 --> PS_36:2;0 --> PE_36:2;0 --> LPE_18:0;0","PC_36:2;0","LPE_18:0;0",1.92751813532787,1.93055949106136,"Active","no","36:2"
"PC_36:1;0 --> PS_36:1;0","PC_36:1;0","PS_36:1;0",2.74279304696227,1.87495477545827,"Active","no","36:1"
"PS_42:5;0 --> LPS_22:1;0","PS_42:5;0","LPS_22:1;0",2.701089416117,1.85832229694112,"Active","no","42:5"
"PC_36:1;0 --> LPC_16:0;0","PC_36:1;0","LPC_16:0;0",2.59478155612342,1.81592399344311,"Active","no","36:1"
"PS_36:1;0 --> PE_36:1;0 --> LPE_18:1;0","PS_36:1;0","LPE_18:1;0",1.99886928721609,1.81148869350351,"Active","no","36:1"
"PC_36:1;0 --> LPC_18:1;0","PC_36:1;0","LPC_18:1;0",2.42645551798362,1.74879124848803,"Active","no","36:1"
"PC_36:0;0 --> LPC_16:0;0","PC_36:0;0","LPC_16:0;0",2.35447477351092,1.72008347983996,"Active","no","36:0"
"PE_36:1;0 --> PC_36:1;0 --> PS_36:1;0 --> LPS_18:1;0","PE_36:1;0","LPS_18:1;0",1.3257787649705,1.6859194421276,"Active","no","36:1"
"PE_38:2;0 --> LPE_16:0;0","PE_38:2;0","LPE_16:0;0",2.21563890181701,1.66471217027879,"Active","no","38:2"
