"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"LPA_22:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0","LPA_22:1;0","PC_36:2;0",12.6102643586734,5.40705575186685,"Active","yes","36:2"
"G3P --> LPA_22:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0","G3P","PC_36:2;0",12.3691359651358,5.40153219564039,"Active","yes","36:2"
"LPA_20:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0","LPA_20:1;0","PC_36:2;0",12.591876267282,5.40095493588579,"Active","yes","36:2"
"G3P --> LPA_20:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0","G3P","PC_36:2;0",12.3521119005291,5.39590891667519,"Active","yes","36:2"
"G3P --> LPA_22:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_18:2;0","G3P","LPC_18:2;0",11.8747782367342,5.33162403266635,"Active","yes","36:2"
"G3P --> LPA_20:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_18:2;0","G3P","LPC_18:2;0",11.8588536824621,5.32636056356835,"Active","yes","36:2"
"G3P --> LPA_22:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_16:0;0","G3P","LPC_16:0;0",11.7886046855739,5.30314148829823,"Active","yes","36:2"
"G3P --> LPA_20:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_16:0;0","G3P","LPC_16:0;0",11.7726801313018,5.29787801920023,"Active","yes","36:2"
"LPA_22:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_18:2;0","LPA_22:1;0","LPC_18:2;0",12.0003721575063,5.27972451865588,"Active","yes","36:2"
"G3P --> LPA_22:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_18:1;0","G3P","LPC_18:1;0",11.704441666504,5.2753234757812,"Active","yes","36:2"
"LPA_20:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_18:2;0","LPA_20:1;0","LPC_18:2;0",11.9833480928997,5.27410123969068,"Active","yes","36:2"
"G3P --> LPA_20:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_18:1;0","G3P","LPC_18:1;0",11.6885171122319,5.2700600066832,"Active","yes","36:2"
"G3P --> LPA_18:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0","G3P","PC_36:2;0",11.9678271944375,5.26897447684877,"Active","yes","36:2"
"LPA_18:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0","LPA_18:1;0","PC_36:2;0",12.176801344858,5.26324103909482,"Active","yes","36:2"
"LPA_22:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_16:0;0","LPA_22:1;0","LPC_16:0;0",11.9082487562939,5.24929491231862,"Active","yes","36:2"
"LPA_20:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_16:0;0","LPA_20:1;0","LPC_16:0;0",11.8912246916873,5.24367163335342,"Active","yes","36:2"
"LPA_22:1;0 --> PA_36:2;0 --> PI_36:2;0 --> DAG_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_18:1;0","LPA_22:1;0","LPC_18:1;0",11.8182747042951,5.21957526511864,"Active","yes","36:2"
