feature,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,LPCAT1KO1,LPCAT1KO2,LPCAT1KO3,LPCAT1KO4,LPCAT1KO5
PC28:0,34.147,27.227,25.664,23.738,24.181,18.265,15.811,15.072,12.349,12.028
PC30:0,668.225,561.465,538.025,482.199,501.708,483.418,437.699,409.424,325.637,324.692
PC32:0,1990.441,1765.18,1641.872,1468.965,1510.539,1660.967,1535.471,1313.255,1174.664,1203.806
PC34:1,8045.227,7370.989,6923.937,6011.899,6139.267,14347.013,13384.255,11660.284,9641.249,10394.605
PC34:0,904.525,823.078,739.566,670.162,673.714,1542.494,1392.427,1284.253,1074.779,1058.538
PC36:4,718.281,651.068,612.153,518.667,526.351,977.295,859.614,764.704,612.744,576.055
PC36:2,5066.04,4717.736,4509.728,4122.209,4166.888,10647.193,10011.314,9264.611,7671.297,7744.326
PC36:1,1582.406,1403.855,1334.492,1155.146,1159.458,3174.994,2911.022,2607.043,2166.997,1985.059
PC36:0,103.192,92.363,85.559,72.684,73.12,207.694,176.23,168.677,141.143,126.396
PC38:6,631.388,557.504,500.609,426.366,429.615,906.289,751.223,656.705,515.968,480.148
PC38:5,904.163,785.146,714.975,613.482,624.94,1521.172,1314.992,1157.718,910.229,892.627
PC38:4,541.474,444.915,390.224,315.869,323.709,871.788,755.085,660.455,499.057,492.449
PC40:8,77.248,59.004,47.938,39.509,38.489,95.801,73.759,63.132,35.797,33.562
PC40:7,278.597,235.421,216.771,185.487,185.1,379.669,317.067,270.551,214.161,199.271
PC40:6,474.971,410.138,394.162,335.15,340.065,627.394,569.058,516.034,398.876,391.512
PC40:5,331.658,292.27,261.25,217.946,222.792,517.321,464.168,404.256,323.833,311.57
PC40:4,66.276,57.749,52.644,42.256,42.358,125.744,108.275,92.233,75.151,67.757
PE34:1,351.781,392.584,419.837,446.276,451.681,649.26,690.283,716.066,672.764,678.3
PE34:0,31.471,34.902,37.351,38.203,41.312,59.033,62.603,64.798,59.626,59.464
PE36:5,48.143,48.735,48.748,52.861,51.168,66.349,63.818,61.682,60.577,57.328
PE36:4,92.635,89.703,90.632,94.705,90.655,108.738,102.835,98.435,86.976,79.695
PE36:3,161.61,176.974,180.801,168.695,172.928,262.271,253.356,265.972,230.232,210.318
PE36:2,947.736,1065.755,1112.535,1189.813,1189.133,2071.254,2195.344,2296.045,2116.55,2093.032
PE36:1,593.082,656.127,666.957,683.36,672.116,1207.369,1297.703,1303.103,1176.688,1142.456
PE38:6,126.416,123.732,114.916,117.505,118.037,167.956,160.099,148.695,142.065,139.217
PE38:5,387.588,366.083,382.025,363.221,348.038,633.312,615.929,590.974,531.183,485.248
PE38:4,590.937,644.125,653.497,662.946,669.316,902.454,923.213,912.224,835.201,811.731
PE38:3,144.063,154.292,154.9,163.635,163.712,258.36,276.748,266.398,243.192,234.118
PE38:2,69.298,74.372,76.273,78.078,72.218,163.473,175.257,167.378,148.146,146.773
PE40:7,129.181,116.142,115.918,116.482,114.078,143.701,134.694,128.941,112.635,106.981
PE40:6,208.652,219.137,213.422,215.906,215.734,254.62,253.038,242.734,226.292,207.856
PE40:5,127.141,129.389,124.256,126.813,131.845,162.106,161.041,162.876,146.402,144.105
PE40:4,55.168,62.577,62.391,65.082,63.378,77.873,86.593,80.293,74.22,74.806
PE42:5,20.561,22.558,20.933,20.549,19.916,31.466,31.497,29.649,28.561,26.34
16:0/18:1PS,365.102,371.131,379.052,387.711,355.08,458.893,432.61,442.868,425.598,399.17
16:0/18:0PS,16.151,21.325,23.72,25.63,24.779,15.491,17.053,19.121,20.467,21.453
18:1/18:1PS,510.309,507.148,522.047,547.826,515.802,799.746,799.548,825.043,838.32,790.033
18:0/18:1PS,666.357,705.971,739.346,744.681,695.548,1221.181,1201.552,1233.411,1214.526,1265.711
18:1/20:4PS,48.548,51.942,56.085,59.46,51.581,61.342,61.081,63.66,61.476,56.607
18:0/20:4PS,213.185,217.876,222.142,230.887,213.886,321.08,324.957,335.013,342.682,328.149
18:1/20:1PS,11.905,12.551,13.509,13.969,11.714,22.431,21.78,22.862,22.374,21.808
18:1/20:0PS,8.397,9.41,9.327,7.527,5.904,11.141,9.037,8.211,6.774,6.231
18:0/20:1PS,20.426,24.209,25.029,21.905,18.162,37.85,33.614,33.088,29.593,27.454
18:0/20:0PS,16.844,20.13,23.136,24.956,23.046,38.264,40.926,47.61,49.565,55.559
18:1/22:6PS,23.618,26.189,28.592,28.481,25.708,22.855,21.611,23.029,22.8,20.981
18:0/22:6PS,154.848,159.783,167.381,170.619,162.903,153.878,157.648,160.343,174.517,164.966
20:1/20:4PS,2.492,2.439,2.595,2.855,2.44,4.008,4.22,4.441,4.568,4.42
18:0/22:4PS,55.906,58.276,56.468,55.837,45.67,69.536,65.944,62.215,58.755,52.608
20:0/20:4PS,3.042,3.399,3.358,3.231,2.617,3.67,3.39,3.152,2.768,2.762
18:1/22:1PS,6.079,6.811,6.745,5.814,4.839,15.316,13.045,12.076,10.735,9.607
18:1/22:0PS,3.634,4.008,3.984,3.943,3.781,4.98,5.092,5.164,5.067,5.119
20:1/22:6PS,1.247,1.32,1.584,1.638,1.455,1.586,1.465,1.541,1.749,1.905
20:0/22:6PS,1.427,1.709,1.888,1.499,1.243,1.131,1.088,1.172,0.878,0.806
22:1/20:4PS,1.347,1.505,1.479,1.295,1.153,2.809,2.779,2.49,2.189,2.073
22:0/20:4PS,0.748,0.737,0.784,0.716,0.701,0.928,0.91,0.909,0.959,0.881
18:1/24:1PS,1.924,2.148,2.155,2.099,1.951,4.952,5.087,4.965,5.478,4.918
18:1/24:0PS,3.573,4.353,5.385,5.944,5.549,5.334,5.861,7.04,7.443,7.951
