"lipid","type","mean_all","mean_ctrl","mean_exp","sd_ctrl","sd_exp","FC","log2FC","statistics","p_value","mlog10p","adj_p_value","mlog10padj","sig","Significance"
"PC_28:0;0","species",0.0689937051298509,0.103289249279374,0.0346981609803274,0.00834297694510739,0.00169204550527513,0.335931969904018,-1.57375899467901,-18.0168437464483,0.0000000924093525236523,7.03428407267743,0.00000184818705047305,5.73325407701345,"yes","Decrease"
"PC_30:0;0","species",1.52135798223279,2.10830816231289,0.934407802152683,0.117107854534248,0.0434629783331956,0.443202667833721,-1.17396152925185,-21.0139786146885,0.0000000276106524953045,7.55892332998653,0.000000736284066541453,6.13295459771425,"yes","Decrease"
"PC_32:0;0","species",4.83905589355692,6.41916788307052,3.25894390404332,0.295401392982423,0.112311163064274,0.507689464336684,-0.977981773576833,-22.3600501627504,0.0000000169283180600657,7.77138618976579,0.000000677132722402626,6.16932619843782,"yes","Decrease"
"PC_34:1;0","species",27.2514605429392,26.4310061945799,28.0719148912984,1.15220085846944,1.1351605072705,1.06208271772321,0.0868961313038674,2.26849373454283,0.0530149194374423,1.27560189421903,0.081561414519142,1.08851525086189,"no","No change"
"PC_34:0;0","species",2.96014504514206,2.91910452722258,3.00118556306155,0.154074145836238,0.0955227042665964,1.02811856686649,0.0400066516587207,1.01244488270276,0.340963625204865,0.467291950085004,0.447165410104741,0.349531798103827,"no","No change"
"PC_36:4;0","species",2.04825071041227,2.31682336298712,1.77967805783742,0.139253290147849,0.161742942305757,0.768154398936505,-0.380531773274141,-5.62758198365851,0.000494119164081097,3.3061683019631,0.00232526665449928,2.63352723634943,"yes","Decrease"
"PC_36:2;0","species",19.39968109514,17.3453115592536,21.4540506310264,0.127385713271921,0.343308333690292,1.23687894320819,0.306704306636373,25.089906434095,0.00000000681521682419911,8.16652032265318,0.000000545217345935929,6.26343033566124,"yes","Increase"
"PC_36:1;0","species",5.56519421938383,5.08107575708399,6.04931268168367,0.277056441919428,0.406034035257177,1.19055746674309,0.251637259402314,4.40450075990113,0.00227304146273276,2.64339264220208,0.00606144390062069,2.2174239099298,"yes","Increase"
"PC_36:0;0","species",0.356517558421173,0.326549136079752,0.386485980762594,0.0235043254541519,0.0284717254159475,1.18354617440545,0.243115991907998,3.63008020020684,0.00668425669625914,2.17494688019872,0.0130424520902617,1.88464074992651,"yes","Increase"
"PC_38:6;0","species",1.74623341874053,1.94475220677392,1.54771463070713,0.176270250122485,0.205823418305419,0.795841560336665,-0.329446853651648,-3.27617128308775,0.0112519747983601,1.94877124921795,0.0214323329492573,1.6689305526239,"yes","Decrease"
"PC_38:5;0","species",2.75149407725931,2.78422174314376,2.71876641137485,0.234263314973785,0.269339820550724,0.976490618274174,-0.0343219115375512,-0.41002063069874,0.692551075098972,0.15954819220476,0.771851704028504,0.11246613270662,"no","No change"
"PC_38:4;0","species",1.53458083511663,1.53465322928384,1.53450844094941,0.229728136634917,0.181861432737775,0.999905654038534,-0.000136118871969217,-0.00110497377865569,0.999145415638853,0.000371299948538488,0.999145415638853,0.000371299948538488,"no","No change"
"PC_40:8;0","species",0.168615278080957,0.198686551949038,0.138544004212876,0.0445573732639209,0.0435279515784773,0.697299353447999,-0.52014995096206,-2.15897993371305,0.0628892720618296,1.2014234321654,0.0949272031121956,1.02260931477424,"no","No change"
"PC_40:7;0","species",0.743186170440982,0.841233141124389,0.645139199757574,0.0802173157325296,0.089260865655452,0.766897032724226,-0.382895207315907,-3.6537005583519,0.00645972610918132,2.18978589559514,0.0129194522183626,1.88875589993116,"yes","Decrease"
"PC_40:6;0","species",1.33613218831757,1.49566173972811,1.17660263690703,0.0987296463720849,0.0910506618279537,0.786676964218476,-0.34615675622341,-5.31208195098893,0.000717851436815477,3.14396542601841,0.00273467214024944,2.56309473376038,"yes","Decrease"
"PC_40:5;0","species",0.980745119626019,1.01239934308537,0.949090896166673,0.101279693482039,0.082963003882251,0.937466922167536,-0.0931603079293525,-1.08127391281462,0.31108926944073,0.507114968971822,0.41478569258764,0.382176232363522,"no","No change"
"PC_40:4;0","species",0.209437118502261,0.199284390569903,0.219589846434619,0.0233351546221052,0.027164691324724,1.10189185317851,0.139982635397857,1.26787822399444,0.240495499125026,0.618893047038407,0.326095592033934,0.486655071688607,"no","No change"
"PE_34:1;0","species",1.62058902110724,1.60253943154327,1.6386386106712,0.280035387865492,0.229524945838134,1.02252623456083,0.0321378583115497,0.222935107750061,0.829172829529404,0.0813549373774778,0.878764962033844,0.0561272675215722,"no","No change"
"PE_34:0;0","species",0.144541814884746,0.142359391438414,0.146724238331078,0.0247251549730419,0.0186026758413861,1.03066075830025,0.043569548170946,0.315434309708367,0.760503343664648,0.118898872167309,0.822165776934755,0.0850406049063416,"no","No change"
"PE_36:5;0","species",0.170690142115508,0.193256742253323,0.148123541977693,0.0225744659279737,0.0130145008778487,0.76645989294144,-0.383717793894843,-3.87303518843982,0.00472103698360445,2.32596259738437,0.0102076475321177,1.99107433445942,"yes","Decrease"
"PE_36:4;0","species",0.290162220262939,0.354100601604565,0.226223838921313,0.0310922434172661,0.00870385379355465,0.638868835286375,-0.646408329764886,-8.85608541113351,0.0000208594845608668,4.68069642721999,0.000185417640541038,3.73184894966737,"yes","Decrease"
"PE_36:3;0","species",0.623951231305222,0.665446229512478,0.582456233097965,0.0641831365990552,0.0444442793681084,0.875286698257628,-0.192172448905539,-2.37701610005134,0.0447536225391012,1.34917180537449,0.0702017608456489,1.15365199448048,"no","No change"
"PE_36:2;0","species",4.7254281836363,4.27568020635233,5.17517616092027,0.710620392961403,0.676450234774445,1.21037493712265,0.27545401951526,2.05007098307215,0.0744999608456096,1.12784395550057,0.110370312363866,0.957147728331594,"no","No change"
"PE_36:1;0","species",2.7343098838218,2.53438011872291,2.93423964892069,0.320688038345696,0.307471100213524,1.15777409522896,0.21135378226778,2.01252672586223,0.0789683007573756,1.10254720705006,0.114862982919819,0.939819909552362,"no","No change"
"PE_38:6;0","species",0.412197524162386,0.462973013319757,0.361422035005014,0.0257321224497228,0.0217335805179714,0.780654648558089,-0.357243634872345,-6.74168806026706,0.000146295891934477,3.83476786892074,0.00083597652533987,3.07780591760703,"yes","Decrease"
"PE_38:5;0","species",1.39082213873442,1.42340798399527,1.35823629347357,0.0752742713666986,0.0662766242851264,0.954214328390396,-0.0676147450327964,-1.45301719618265,0.184289416122118,0.734499605919014,0.254192298099473,0.594837612490008,"no","No change"
"PE_38:4;0","species",2.29548963980064,2.49436233427759,2.09661694532369,0.304357065838155,0.180923384450871,0.840542256636867,-0.250607744898832,-2.51188304507889,0.0362643959169848,1.44051955250818,0.0580230334671756,1.23639956985226,"no","No change"
"PE_38:3;0","species",0.608039690770931,0.604817816935671,0.611261564606191,0.0779774532611764,0.0535997456779,1.01065403083389,0.0152892154192048,0.152275188990791,0.882740254917343,0.0541670681675665,0.905374620428044,0.0431716838661033,"no","No change"
"PE_38:2;0","species",0.334415942715331,0.28644468446701,0.382387200963652,0.0319141797314212,0.029448636760822,1.33494256203484,0.416777669066254,4.94032520255868,0.00113459943016075,2.94515743889057,0.0034910751697254,2.45704079986944,"yes","Increase"
