"From","To","ensembl_gene_id","external_gene_name","species"
"Acyl-DHAP","Alkyl-DHAP","ENSG00000018510","AGPS","human"
"Cer","CerP","ENSG00000262327","AGK","human"
"Cer","CerP","ENSG00000006530","AGK","human"
"Cer","CerP","ENSG00000100422","CERK","human"
"Cer","SM","ENSG00000198964","SGMS1","human"
"Cer","SM","ENSG00000164023","SGMS2","human"
"Cer","SPB","ENSG00000138744","NAAA","human"
"Cer","SPB","ENSG00000177076","ACER2","human"
"Cer","SPB","ENSG00000167769","ACER1","human"
"Cer","SPB","ENSG00000188611","ASAH2","human"
"Cer","SPB","ENSG00000078124","ACER3","human"
"Cer","SPB","ENSG00000104763","ASAH1","human"
"Cer","HexCer","ENSG00000148154","UGCG","human"
"Cer","HexCer","ENSG00000174607","UGT8","human"
"CerP","Cer","ENSG00000067113","PLPP1","human"
"CerP","Cer","ENSG00000162407","PLPP3","human"
"CerP","Cer","ENSG00000141934","PLPP2","human"
"CerP","Cer","ENSG00000285281","SGPP1","human"
"CerP","Cer","ENSG00000163082","SGPP2","human"
"CerP","Cer","ENSG00000126821","SGPP1","human"
"CerP","Cer","ENSG00000132793","LPIN3","human"
"CerP","Cer","ENSG00000203805","PLPP4","human"
"CerP","Cer","ENSG00000147535","PLPP5","human"
"CerP","Cer","ENSG00000101577","LPIN2","human"
"CerP","Cer","ENSG00000134324","LPIN1","human"
"DAG","PA","ENSG00000157680","DGKI","human"
"DAG","PA","ENSG00000065357","DGKA","human"
"DAG","PA","ENSG00000058866","DGKG","human"
"DAG","PA","ENSG00000153933","DGKE","human"
"DAG","PA","ENSG00000145214","DGKQ","human"
"DAG","PA","ENSG00000149091","DGKZ","human"
"DAG","PA","ENSG00000280873","DGKD","human"
"DAG","PA","ENSG00000077044","DGKD","human"
"DAG","PA","ENSG00000262327","AGK","human"
"DAG","PA","ENSG00000006530","AGK","human"
"DAG","PA","ENSG00000102780","DGKH","human"
"DAG","PA","ENSG00000136267","DGKB","human"
"DAG","PA","ENSG00000274588","DGKK","human"
"DAG","TAG","ENSG00000285482","DGAT1","human"
"DAG","TAG","ENSG00000185000","DGAT1","human"
"DAG","TAG","ENSG00000106384","MOGAT3","human"
"DAG","TAG","ENSG00000062282","DGAT2","human"
"DAG","PE","ENSG00000138018","SELENOI","human"
"DAG","PE","ENSG00000134255","CEPT1","human"
"DAG","MAG","ENSG00000100344","PNPLA3","human"
"DAG","MAG","ENSG00000101670","LIPG","human"
"DAG","MAG","ENSG00000203837","PNLIPRP3","human"
"DAG","MAG","ENSG00000166035","LIPC","human"
"DAG","MAG","ENSG00000114771","AADAC","human"
"DAG","MAG","ENSG00000182333","LIPF","human"
"DAG","MAG","ENSG00000170835","CEL","human"
"DAG","MAG","ENSG00000177666","PNPLA2","human"
"DAG","MAG","ENSG00000187021","PNLIPRP1","human"
"DAG","MAG","ENSG00000175535","PNLIP","human"
"DAG","MAG","ENSG00000266200","PNLIPRP2","human"
"DAG","PC","ENSG00000111666","CHPT1","human"
"DAG","PC","ENSG00000134255","CEPT1","human"
"DAG O-","PE O-","ENSG00000138018","SELENOI","human"
"DAG O-","PE O-","ENSG00000134255","CEPT1","human"
"DAG O-","PC O-","ENSG00000134255","CEPT1","human"
"DAG O-","PC O-","ENSG00000111666","CHPT1","human"
"DHAP","Acyl-DHAP","ENSG00000116906","GNPAT","human"
"DHAP","G3P","ENSG00000167588","GPD1","human"
"DHAP","G3P","ENSG00000152642","GPD1L","human"
"DHAP","G3P","ENSG00000115159","GPD2","human"
"dhCer","dhSPB","ENSG00000177076","ACER2","human"
"dhCer","dhSPB","ENSG00000167769","ACER1","human"
"dhCer","dhSPB","ENSG00000078124","ACER3","human"
"dhCer","dhSPB","ENSG00000104763","ASAH1","human"
"dhCer","dhSPB","ENSG00000188611","ASAH2","human"
"dhCer","Cer","ENSG00000143753","DEGS1","human"
"dhCer","Cer","ENSG00000168350","DEGS2","human"
"dhCer","phCer","ENSG00000168350","DEGS2","human"
"dhCer","phCer","ENSG00000143753","DEGS1","human"
"dhSPB","dhCer","ENSG00000139624","CERS5","human"
"dhSPB","dhCer","ENSG00000090661","CERS4","human"
"dhSPB","dhCer","ENSG00000154227","CERS3","human"
"dhSPB","dhCer","ENSG00000223802","CERS1","human"
"dhSPB","dhCer","ENSG00000172292","CERS6","human"
"dhSPB","dhCer","ENSG00000143418","CERS2","human"
"dhSPB","dhSPBP","ENSG00000176170","SPHK1","human"
"dhSPB","dhSPBP","ENSG00000063176","SPHK2","human"
"dhSPBP","dhSPB","ENSG00000285281","SGPP1","human"
"dhSPBP","dhSPB","ENSG00000163082","SGPP2","human"
"dhSPBP","dhSPB","ENSG00000126821","SGPP1","human"
"dhSPBP","dhSPB","ENSG00000141934","PLPP2","human"
"dhSPBP","dhSPB","ENSG00000132793","LPIN3","human"
"dhSPBP","dhSPB","ENSG00000067113","PLPP1","human"
"dhSPBP","dhSPB","ENSG00000203805","PLPP4","human"
"dhSPBP","dhSPB","ENSG00000147535","PLPP5","human"
"dhSPBP","dhSPB","ENSG00000101577","LPIN2","human"
"dhSPBP","dhSPB","ENSG00000162407","PLPP3","human"
"dhSPBP","dhSPB","ENSG00000134324","LPIN1","human"
"dhSPB","phSPB","ENSG00000168350","DEGS2","human"
"dhSPB","phSPB","ENSG00000143753","DEGS1","human"
